group,keywords,keyword_matches,gender,geo,multi_geo,csv_file,target_cpa,per_source_budget,max_bid,frequency_cap,max_daily_budget,variants,ios_version,android_version,ad_format,enabled,test_number
Office,doctor,,all,US,,Native_Office_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,4K
Office,couch,,all,US,,Native_Office_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,4K
Office,wedding,,all,US,,Native_Office_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,4K
Office,hospital,,all,US,,Native_Office_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,4K
Office,bride,,all,US,,Native_Office_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,4K
Office,patient,,all,US,,Native_Office_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,4K
Office,seduction,,all,US,,Native_Office_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,4K
Office,high heels,,all,US,,Native_Office_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,4K
Office,reality,,all,US,,Native_Office_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,4K
Office,black hair,,all,US,,Native_Office_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,4K
Office,tall,,all,US,,Native_Office_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,4K
Office,police,,all,US,,Native_Office_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,4K
Office,romanian,,all,US,,Native_Office_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,4K
Office,pool,,all,US,,Native_Office_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,4K
Office,tits,,all,US,,Native_Office_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,4K
Office,landing strip,,all,US,,Native_Office_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,4K
Office,outdoors,,all,US,,Native_Office_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,4K
Office,1080p,,all,US,,Native_Office_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,4K
Office,natural tits,,all,US,,Native_Office_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,4K
Office,dsl,,all,US,,Native_Office_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,4K
Office,maid,,all,US,,Native_Office_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,4K
Office,nurse,,all,US,,Native_Office_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,4K
Office,cheat,,all,US,,Native_Office_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,4K
Office,photographer,,all,US,,Native_Office_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,4K
Office,funny,,all,US,,Native_Office_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,4K
Office,pornstar fucks fan,,all,US,,Native_Office_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,4K
Office,fucking,,all,US,,Native_Office_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,4K
Office,story,,all,US,,Native_Office_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,4K
Office,freeuse,,all,US,,Native_Office_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,4K
Office,seduced,,all,US,,Native_Office_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,4K
Office,standing doggy,,all,US,,Native_Office_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,4K
Office,riding,,all,US,,Native_Office_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,4K
Office,boss,,all,US,,Native_Office_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,4K
Office,oral,,all,US,,Native_Office_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,4K
Office,plumber,,all,US,,Native_Office_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,4K
Office,doggystyle,,all,US,,Native_Office_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,4K
