group,keywords,keyword_matches,gender,geo,multi_geo,csv_file,target_cpa,per_source_budget,max_bid,frequency_cap,max_daily_budget,variants,ios_version,android_version,ad_format,enabled,test_number
femdom,female domination,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,3K
femdom,mistress,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,3K
femdom,humilation,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,3K
femdom,mistress domination,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,3K
femdom,dominant woman,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,3K
femdom,dominatrix,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,3K
femdom,dominant girl,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,3K
femdom,latex femdom,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,3K
femdom,denial,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,3K
femdom,chastity femdom,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,3K
femdom,femdom humilation,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,3K
femdom,cum denial,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,3K
femdom,chastity,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,3K
femdom,latex,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,3K
femdom,leather boots,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,3K
femdom,orgasm control,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,TRUE,3K
