group,keywords,keyword_matches,gender,geo,multi_geo,csv_file,target_cpa,per_source_budget,max_bid,frequency_cap,max_daily_budget,variants,ios_version,android_version,ad_format,enabled,test_number
Blonde,rubia,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,polish,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,pretty blonde,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,blonde teen,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,hot blonde,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,serbian,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,blond,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,ukrainian,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,heels,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,private,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,shaved pussy,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,canadian,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,stockings,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,piercing,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,vixen,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,porn star,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,rim,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,big,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,photoshoot,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,boy girl,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,lingerie,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,american,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,fake,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,super hot blonde,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,blonde girl,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,petite blonde,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,blonde blue eyes,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,skinny blonde,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,blonde big tits,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,big tits blonde,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,bimbo,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,blonde milf,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,blonde amateur,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,dutch,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,blonde glasses,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,sexy babe,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,hot blonde milf,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,tan lines,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,bald pussy,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,big fake tits,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,big silicone tits,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,tittyfuck,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,fake boobs,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,bigtits,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,big tits,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,big boobs,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,titty fuck,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,big naturals,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,huge tits,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,big fake boobs,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,titjob,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,gros seins,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
