group,keywords,keyword_matches,gender,geo,multi_geo,csv_file,target_cpa,per_source_budget,max_bid,frequency_cap,max_daily_budget,variants,ios_version,android_version,ad_format,enabled,test_number
POV,pov cowgirl,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,point of view,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,pov fuck,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,missionary pov,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,pov doggystyle,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,pov missionary,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,eye contact,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,pov doggy,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,reverse cowgirl pov,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,gf,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,cowgirl pov,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,best pov blowjob,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,blowjob pov,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,amateur pov,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,pov riding,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,date,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,best pov doggystyle,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,hotel sex,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
POV,amateur sex,,all,US,,,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,8K
