Ad Name,Target URL,Video Creative ID,Thumbnail Creative ID,Headline,Brand Name
VID_EN_Trans_T_Real_NSFW_Generic_Seras_4sec_ID-69EBF6E9-VID,https://clk.ourdreamer.com/697aac2fe6c21162ccb35aa6?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11={CampaignName}&Keywords={Keywords}&sub14=&sub17=trans&ref_id={ACLID}&cost={BidValue},1032791551,1032791661,Create Your Trans Slut In 30 seconds,"Dream, Build, Fuck "
VID_EN_Trans_T_Real_NSFW_Generic_Seras_4sec_ID-BA06EC27-VID,https://clk.ourdreamer.com/697aac2fe6c21162ccb35aa6?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11={CampaignName}&Keywords={Keywords}&sub14=&sub17=trans&ref_id={ACLID}&cost={BidValue},1032791561,1032791671,Create Your Trans Slut In 30 seconds,"Dream, Build, Fuck "
VID_EN_Trans_T_Real_NSFW_Generic_Seras_4sec_ID-4C069741-VID,https://clk.ourdreamer.com/697aac2fe6c21162ccb35aa6?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11={CampaignName}&Keywords={Keywords}&sub14=&sub17=trans&ref_id={ACLID}&cost={BidValue},1032791571,1032791681,Create Your Trans Slut In 30 seconds,"Dream, Build, Fuck "
VID_EN_Trans_T_Real_NSFW_Generic_Seras_4sec_ID-EA23D008-VID,https://clk.ourdreamer.com/697aac2fe6c21162ccb35aa6?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11={CampaignName}&Keywords={Keywords}&sub14=&sub17=trans&ref_id={ACLID}&cost={BidValue},1032791581,1032791691,Create Your Trans Slut In 30 seconds,"Dream, Build, Fuck "
VID_EN_Trans_T_Real_NSFW_Generic_Seras_4sec_ID-CD305349-VID,https://clk.ourdreamer.com/697aac2fe6c21162ccb35aa6?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11={CampaignName}&Keywords={Keywords}&sub14=&sub17=trans&ref_id={ACLID}&cost={BidValue},1032791591,1032791701,Create Your Trans Slut In 30 seconds,"Dream, Build, Fuck "
VID_EN_Trans_T_Real_NSFW_Generic_Seras_4sec_ID-FEA63982-VID,https://clk.ourdreamer.com/697aac2fe6c21162ccb35aa6?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11={CampaignName}&Keywords={Keywords}&sub14=&sub17=trans&ref_id={ACLID}&cost={BidValue},1032791601,1032791711,Create Your Trans Slut In 30 seconds,"Dream, Build, Fuck "
VID_EN_Trans_T_Real_NSFW_Generic_Seras_4sec_ID-C049D109-VID,https://clk.ourdreamer.com/697aac2fe6c21162ccb35aa6?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11={CampaignName}&Keywords={Keywords}&sub14=&sub17=trans&ref_id={ACLID}&cost={BidValue},1032791611,1032791731,Create Your Trans Slut In 30 seconds,"Dream, Build, Fuck "
VID_EN_Trans_T_Real_NSFW_Generic_Seras_4sec_ID-7A657748-VID,https://clk.ourdreamer.com/697aac2fe6c21162ccb35aa6?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11={CampaignName}&Keywords={Keywords}&sub14=&sub17=trans&ref_id={ACLID}&cost={BidValue},1032791621,1032791721,Create Your Trans Slut In 30 seconds,"Dream, Build, Fuck "
VID_EN_Trans_T_Real_NSFW_Generic_Seras_4sec_ID-879D4381-VID,https://clk.ourdreamer.com/697aac2fe6c21162ccb35aa6?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11={CampaignName}&Keywords={Keywords}&sub14=&sub17=trans&ref_id={ACLID}&cost={BidValue},1032791631,1032791741,Create Your Trans Slut In 30 seconds,"Dream, Build, Fuck "
VID_EN_Trans_T_Real_NSFW_Generic_Seras_4sec_ID-15FC36DC-VID,https://clk.ourdreamer.com/697aac2fe6c21162ccb35aa6?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11={CampaignName}&Keywords={Keywords}&sub14=&sub17=trans&ref_id={ACLID}&cost={BidValue},1032791641,1032791751,Create Your Trans Slut In 30 seconds,"Dream, Build, Fuck "
VID_EN_Trans_T_Real_NSFW_Generic_Seras_4sec_ID-738442EA-VID,https://clk.ourdreamer.com/697aac2fe6c21162ccb35aa6?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11={CampaignName}&Keywords={Keywords}&sub14=&sub17=trans&ref_id={ACLID}&cost={BidValue},1032791651,1032791761,Create Your Trans Slut In 30 seconds,"Dream, Build, Fuck "
