Ad Name,Target URL,Creative ID,Custom CTA Text,Custom CTA URL,Banner CTA Creative ID,Banner CTA Title,Banner CTA Subtitle,Banner CTA URL,Tracking Pixel
PERFECTPORN,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11={CampaignName}&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},1032805691,,,,,,,
WALKINGSELFIE_FURRY,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11={CampaignName}&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},1032805641,,,,,,,
Cuck,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11={CampaignName}&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},1032633781,,,,,,,
EN_OURDREAM_GENERAL_30sec_ID-FC41F896,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11={CampaignName}&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},1032490631,,,,,,,
EN_OURDREAM_HENTAI_GENERAL_30sec_ID-FC41F896,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11={CampaignName}&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},1032490451,,,,,,,
WALKINGSELFIE_HENTAI,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11={CampaignName}&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},1032480211,,,,,,,
WALKINGSELFIE_GENERAL,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11={CampaignName}&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},1032468251,,,,,,,
DREAMLAND_GENERAL,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11={CampaignName}&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},1032467961,,,,,,,
TALKINGAD_HENTAI,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11={CampaignName}&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},1032462491,,,,,,,
AIPORNISHERE_HENTAI,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11={CampaignName}&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},1032166502,,,,,,,
AIPORNISHERE_BLONDE,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11={CampaignName}&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},1032166492,,,,,,,
AIPORNISHERE_GOTH,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11={CampaignName}&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},1032166482,,,,,,,
AIPORNISHERE_MISSIONARY,https://clk.ourdream.ai/68fee7d85d1066083925def9?ref=trafficjunky&sub1={CampaignID}&sub2={BLPID}&sub3={BLPName}&SiteName={SiteName}&SpotName={SpotName}&Location={Location}&sub7={BanID}&sub8={BanName}&sub9={AdID}&sub10={SpotID}&sub11={CampaignName}&Keywords={Keywords}&ref_id={ACLID}&cost={BidValue},1032467881,,,,,,,
