group,keywords,keyword_matches,gender,geo,multi_geo,csv_file,target_cpa,per_source_budget,max_bid,frequency_cap,max_daily_budget,variants,ios_version,android_version,ad_format,enabled
Blonde,rubia,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Blonde,polish,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Blonde,pretty blonde,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Blonde,blonde teen,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Blonde,hot blonde,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Blonde,serbian,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Blonde,blond,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Blonde,ukrainian,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Blonde,heels,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Blonde,private,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Blonde,shaved pussy,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Blonde,canadian,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Blonde,861,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Blonde,stockings,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Blonde,piercing,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Blonde,vixen,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Blonde,porn star,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Blonde,rim,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Blonde,big,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Blonde,photoshoot,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Blonde,boy girl,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Blonde,lingerie,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Blonde,american,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Blonde,fake,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Blonde,super hot blonde,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Blonde,blonde girl,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
