group,keywords,keyword_matches,gender,geo,multi_geo,csv_file,target_cpa,per_source_budget,max_bid,frequency_cap,max_daily_budget,variants,ios_version,android_version,ad_format,enabled
Office,doctor,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Office,couch,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Office,wedding,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Office,hospital,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Office,bride,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Office,patient,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Office,seduction,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Office,high heels,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Office,reality,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Office,black hair,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Office,tall,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Office,police,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Office,romanian,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Office,pool,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Office,tits,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Office,landing strip,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Office,outdoors,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Office,1080p,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Office,natural tits,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Office,dsl,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Office,maid,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Office,nurse,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Office,cheat,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Office,photographer,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Office,funny,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Office,pornstar fucks fan,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Office,fucking,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Office,story,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Office,freeuse,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Office,seduced,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Office,standing doggy,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Office,riding,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Office,boss,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Office,oral,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Office,plumber,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
Office,doggystyle,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
