group,keywords,keyword_matches,gender,geo,multi_geo,csv_file,target_cpa,per_source_budget,max_bid,frequency_cap,max_daily_budget,variants,ios_version,android_version,ad_format,enabled
POV,pov cowgirl,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,point of view,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,pov fuck,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,missionary pov,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,pov doggystyle,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,pov missionary,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,eye contact,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,pov doggy,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,reverse cowgirl pov,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,gf,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,cowgirl pov,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,best pov blowjob,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,blowjob pov,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,amateur pov,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,pov riding,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,date,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,best pov doggystyle,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,hotel sex,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,amateur sex,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,vertical pov,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,amateur pov blowjob,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,hookup,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,sex for money,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,teen pov,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,gopro,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,doggystyle pov,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,vacation,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,big dick fuck,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,pov oral,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,full video,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,sextape,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,pick up,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,amwf,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,deep inside,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,hot action,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,pickup,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,pov bj,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,amateurs,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,bj,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,missionary,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,real estate agent,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,intimate,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,pov facial,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,mrpov,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,pov deepthroat,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,eye contact blowjob,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,blowjob eye contact,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,sloppy blowjob pov,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,sloppy blowjob,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,messy blowjob,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,sucking dick,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,suck,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,sucking,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,cim,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,sloppy,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,balls licking,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,wet blowjob,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,swallow,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,ball sucking,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,hawk tuah,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,licking balls,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,on her knees,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,cock sucker,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,creampie pov,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,begging creampie,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,creampie surprise,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,doggystyle creampie,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,huge creampie,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,dripping creampie,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,creampie pussy,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,creampie accident,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,cum inside,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
POV,riding creampie,,all,US,,stepmom.csv,50.0,100.0,10.0,2,50.0,"desktop, all mobile",>18.4,>11.0,Native,False
