group,keywords,keyword_matches,gender,geo,multi_geo,csv_file,target_cpa,per_source_budget,max_bid,frequency_cap,max_daily_budget,variants,ios_version,android_version,ad_format,enabled
femdom,female domination,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,mistress,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,humilation,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,mistress domination,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,dominant woman,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,dominatrix,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,dominant girl,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,latex femdom,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,denial,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,chastity femdom,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,femdom humilation,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,cum denial,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,chastity,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,latex,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,leather boots,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,orgasm control,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,femdom chastity,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,sissy training,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,femdom cum eating,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,laughing,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,slave training,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,chastity tease,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,orgasm denial,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,femdom cuckold,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,sph,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,humiliation,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,latex catsuit,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,chastity cage,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,sissy chastity,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,feminization,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,male orgasm denial,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,sissy feminization,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,mistress male slave,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,fart domination,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,farts,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,farting,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,fart slave,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,face farting,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,gassy,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,girl fart,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,ass smelling,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,girl farting,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,fart fetish,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,face fart,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,girls farting,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,ass sniffing,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,ass smothering,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,fart,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,ass smother,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,ass worship,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
femdom,ass fetish,,all,US,,Native_Femdom_Dec25.csv,50,100,10,2,50,"desktop, all mobile",>18.4,>11.0,Native,FALSE
